Title,Author,Author Gender,1st Book,Publisher,Date of Publication,CF Publisher ,Award Category,Award Status,Award Year,Goodreads # Ratings,Goodreads Rating,Genre
Dark Justice,Brandilyn Collins,Female ,No,Broadman & Holman Publishers,2013,Yes,Suspense,Finalist,2014,875,4.25,Christian Fiction
The Last Plea Bargain,Randy Singer,Male,No,Tyndale House Publishers,2012,Yes,Suspense,Finalist,2013,1580,4.2,Christian Fiction
Shadow Hand,Anne Elisabeth Stengl,Female,No,Bethany House Publishers,2014,Yes,Visionary,Finalist,2015,666,4.32,Fantasy
Valley of the Shadow,Tom Pawlik,Male,No,Tyndale House Publishers,2009,Yes,Visionary,Finalist,2010,251,4.15,Christian Fiction
The Long Trail Home,Stephen Bly,Male,No,Broadman & Holman Publishers,2001,Yes,Western,Winner,2002,125,4.27,Westerns
"Motorcycles, Sushi, and One Strange Book",Nancy Rue,Female,No,Zondervan,2010,Yes,Young Adult,Winner,2011,567,3.88,Young Adult
Glorious Appearing,Tim LaHaye & Jerry B. Jenkins,Male,No,Tyndale House Publishers,2004,Yes,NA,NA,NA,,,
Left Behind,Tim LaHaye & Jerry B. Jenkins,Male,No,Tyndale House Publishers,1995,Yes,NA,NA,NA,,,
Nicolae,Tim LaHaye & Jerry B. Jenkins,Male,No,Tyndale House Publishers,1997,Yes,NA,NA,NA,,,
Soul Harvest,Tim LaHaye & Jerry B. Jenkins,Male,No,Tyndale House Publishers,1998,Yes,NA,NA,NA,,,
The Indwelling,Tim LaHaye & Jerry B. Jenkins,Male,No,Tyndale House Publishers,2000,Yes,NA,NA,NA,,,
The Mark,Tim LaHaye & Jerry B. Jenkins,Male,No,Tyndale House Publishers,2000,Yes,NA,NA,NA,,,
The Remnant,Tim LaHaye & Jerry B. Jenkins,Male,No,Tyndale House Publishers,2002,Yes,NA,NA,NA,,,
Tribulation Force,Tim LaHaye & Jerry B. Jenkins,Male,No,Tyndale House Publishers,1996,Yes,NA,NA,NA,,,
